# time	signal	sigma
-4.249999879801791280e-06	2.070265360150415628e-05	1.841234881923761854e-03
-4.247999879858355143e-06	2.103926479442508801e-05	1.839570809066000401e-03
-4.245999879914919006e-06	2.301880490821435542e-05	1.837342122745312233e-03
-4.243999879971482869e-06	2.644423960046363500e-05	1.832968942035228177e-03
-4.241999880028046732e-06	3.207625980067733214e-05	1.835548364031599133e-03
-4.239999880084610595e-06	3.724072797631187049e-05	1.843207651949556325e-03
-4.237999880141174458e-06	3.895370515500433894e-05	1.842441509883812906e-03
-4.235999880197738321e-06	4.108230805793182221e-05	1.843576779655723211e-03
-4.233999880254302184e-06	4.354805871156311480e-05	1.843993763981455506e-03
-4.231999880310866047e-06	4.719052777168541817e-05	1.843882061184197495e-03
-4.229999880367429910e-06	5.085226422529541828e-05	1.845629311567080402e-03
-4.227999880423993773e-06	5.152205022695380710e-05	1.847941970500431184e-03
-4.225999880480557636e-06	5.240229810829665131e-05	1.851840273905971035e-03
-4.223999880537121498e-06	5.504808284516787874e-05	1.855256807994329869e-03
-4.221999880593685361e-06	5.678066444506549141e-05	1.855705612072383473e-03
-4.219999880650249224e-06	5.707771253756545879e-05	1.858224444013666229e-03
-4.217999880706813087e-06	5.625550883490100843e-05	1.859308152136178926e-03
-4.215999880763376950e-06	5.378736004812997395e-05	1.861341006614333077e-03
-4.213999880819940813e-06	5.545670388747695649e-05	1.866623746660108071e-03
-4.211999880876504676e-06	5.384971711189589865e-05	1.867518328329513403e-03
-4.209999880933068539e-06	5.134205915325099328e-05	1.868839692661823908e-03
-4.207999880989632402e-06	4.960009317399896546e-05	1.872202256861987303e-03
-4.205999881046196265e-06	5.085576884197086931e-05	1.875326177340169102e-03
-4.203999881102760128e-06	5.113946327216657272e-05	1.877700627229229001e-03
-4.201999881159323991e-06	5.221295731679625020e-05	1.879679383330219115e-03
-4.199999881215887854e-06	5.371345029165294229e-05	1.878978332262482183e-03
-4.197999881272451717e-06	5.452999477962327851e-05	1.875697263480529016e-03
-4.195999881329015579e-06	5.333392741720916299e-05	1.872656532433683834e-03
-4.193999881385579442e-06	5.195633912804059292e-05	1.867317315750675021e-03
-4.191999881442143305e-06	5.171210710509376463e-05	1.860823748641062068e-03
-4.189999881498707168e-06	4.891342262927243691e-05	1.854238375442886656e-03
-4.187999881555271031e-06	4.598274550796831390e-05	1.847525058284469300e-03
-4.185999881611834894e-06	4.168629598776319627e-05	1.841178669523947957e-03
-4.183999881668398757e-06	3.946981516460927315e-05	1.835661536127019015e-03
-4.181999881724962620e-06	4.014416788679044850e-05	1.830375573450235402e-03
-4.179999881781526483e-06	3.866350076922876982e-05	1.825319348406789473e-03
-4.177999881838090346e-06	3.856206388389550274e-05	1.821097450069106586e-03
-4.175999881894654209e-06	3.553438034347854331e-05	1.817381001559809431e-03
-4.173999881951218072e-06	3.421177212946103748e-05	1.815496468453057588e-03
-4.171999882007781935e-06	3.580275969343948376e-05	1.822840278129667785e-03
-4.169999882064345798e-06	3.356521677717026492e-05	1.822230247854477597e-03
-4.167999882120909660e-06	3.005422217858212588e-05	1.822655552056230656e-03
-4.165999882177473523e-06	2.561797960360769955e-05	1.824108897812003194e-03
-4.163999882234037386e-06	2.369582804036602015e-05	1.825851341910884884e-03
-4.161999882290601249e-06	2.029201783978093715e-05	1.827844967663512380e-03
-4.159999882347165112e-06	2.136259849277124157e-05	1.828671675741862452e-03
-4.157999882403728975e-06	2.025137092671939988e-05	1.830207315257041320e-03
-4.155999882460292838e-06	2.032290325885681577e-05	1.830914433696777602e-03
-4.153999882516856701e-06	1.983571840542846425e-05	1.832860357288384166e-03
-4.151999882573420564e-06	2.111693383898051468e-05	1.831987827370203581e-03
-4.149999882629984427e-06	2.166968260642885874e-05	1.832104437483504916e-03
-4.147999882686548290e-06	2.160155995949454284e-05	1.832692013069812725e-03
-4.145999882743112153e-06	2.348568219536262855e-05	1.830756917231704224e-03
-4.143999882799676016e-06	2.350388273680836804e-05	1.830556792303028417e-03
-4.141999882856239878e-06	2.536387607068179987e-05	1.828843396315335068e-03
-4.139999882912803741e-06	2.615603747746221260e-05	1.829762279017237234e-03
-4.137999882969367604e-06	2.913785606115164252e-05	1.842062481733381264e-03
-4.135999883025931467e-06	2.905038966721668081e-05	1.842141617500434297e-03
-4.133999883082495330e-06	2.824212227365955914e-05	1.844296222008451813e-03
-4.131999883139059193e-06	2.683321059615103774e-05	1.844384667806580561e-03
-4.129999883195623056e-06	2.414189800349910114e-05	1.845788006872355015e-03
-4.127999883252186919e-06	2.226121696103362086e-05	1.845751660532728416e-03
-4.125999883308750782e-06	1.967810909391429198e-05	1.848172044188097765e-03
-4.123999883365314645e-06	1.756907358949468066e-05	1.851326589057316740e-03
-4.121999883421878508e-06	1.379039917463999935e-05	1.855088051405301419e-03
-4.119999883478442371e-06	1.124837824238931181e-05	1.856783810474554094e-03
-4.117999883535006234e-06	8.458964746694267638e-06	1.860025690868988930e-03
-4.115999883591570097e-06	8.087772849699187546e-06	1.862800112259065501e-03
-4.113999883648133959e-06	6.428259971254647424e-06	1.865094293713953416e-03
-4.111999883704697822e-06	7.123711950965378294e-06	1.865474877123251196e-03
-4.109999883761261685e-06	9.920372459017905500e-06	1.864217352725871992e-03
-4.107999883817825548e-06	1.230177001716690750e-05	1.861287517962090200e-03
-4.105999883874389411e-06	1.268991897342578519e-05	1.855764228349635406e-03
-4.103999883930953274e-06	1.529706546175176843e-05	1.849590652333107802e-03
-4.101999883987517137e-06	1.552600408256927080e-05	1.843130858444624962e-03
-4.099999884044081000e-06	1.790799736368662372e-05	1.837504656449243275e-03
-4.097999884100644863e-06	1.688170173577813161e-05	1.833534893904156153e-03
-4.095999884157208726e-06	1.581981365659663997e-05	1.829279146144786872e-03
-4.093999884213772589e-06	1.593092889761065010e-05	1.828964485456414197e-03
-4.091999884270336452e-06	1.385093019060388902e-05	1.827907782510700477e-03
-4.089999884326900315e-06	1.142830075025920975e-05	1.829169312791975978e-03
-4.087999884383464178e-06	5.473565666866842677e-06	1.828604887269198601e-03
-4.085999884440028040e-06	3.588355723637483589e-06	1.833633752994437731e-03
-4.083999884496591903e-06	1.033843834138552286e-06	1.835109349453128242e-03
-4.081999884553155766e-06	-7.773920964175182972e-07	1.838165439614356097e-03
-4.079999884609719629e-06	-1.596769801926714756e-06	1.839876755184752027e-03
-4.077999884666283492e-06	-1.711406301081101842e-06	1.840802145350964444e-03
-4.075999884722847355e-06	-2.413823851217544204e-06	1.840751130190014647e-03
-4.073999884779411218e-06	-1.977614618703220101e-06	1.841735133758040611e-03
-4.071999884835975081e-06	-2.261496500594311222e-06	1.838631360464721733e-03
-4.069999884892538944e-06	-1.015384969405653875e-06	1.835282572160685513e-03
-4.067999884949102807e-06	-2.569809306133971844e-06	1.828846763253977672e-03
-4.065999885005666670e-06	-5.796830888309080151e-06	1.823945890047668373e-03
-4.063999885062230533e-06	-4.732072825068480044e-06	1.816009436559854829e-03
-4.061999885118794396e-06	-5.268383883903971681e-06	1.810002457313282954e-03
-4.059999885175358258e-06	-3.243543808770525585e-07	1.803999698511747282e-03
-4.057999885231922121e-06	6.499005029152990541e-06	1.815466589806434550e-03
-4.055999885288485984e-06	8.462105216784464442e-06	1.812889848325035472e-03
-4.053999885345049847e-06	1.151070773357633706e-05	1.811748293640783958e-03
-4.051999885401613710e-06	1.249316416252575367e-05	1.811077616296596134e-03
-4.049999885458177573e-06	1.584600396785398294e-05	1.811799796376259864e-03
-4.047999885514741436e-06	2.154646920351840499e-05	1.827539178531680962e-03
-4.045999885571305299e-06	2.427015936613878501e-05	1.829551355707223449e-03
-4.043999885627869162e-06	2.938879726935522772e-05	1.829441014976759426e-03
-4.041999885684433025e-06	3.550310882848481376e-05	1.832294839534804242e-03
-4.039999885740996888e-06	4.076671250419222495e-05	1.829655277387614090e-03
-4.037999885797560751e-06	4.507282073979028999e-05	1.825869898546751040e-03
-4.035999885854124614e-06	4.560959616912679099e-05	1.826458941014797105e-03
-4.033999885910688477e-06	4.820254370368822904e-05	1.826489914417519502e-03
-4.031999885967252339e-06	5.136835936634024757e-05	1.825012236755856661e-03
-4.029999886023816202e-06	5.351905136863918753e-05	1.824302437696079552e-03
-4.027999886080380065e-06	5.486109002778773061e-05	1.821801335591197689e-03
-4.025999886136943928e-06	5.063634747623800341e-05	1.820715533125820060e-03
-4.023999886193507791e-06	5.059400402893709310e-05	1.821089400661445772e-03
-4.021999886250071654e-06	4.909900992460010795e-05	1.819865064205462065e-03
-4.019999886306635517e-06	4.943562609709381051e-05	1.819903763358578491e-03
-4.017999886363199380e-06	4.825202567879029614e-05	1.819726907571364224e-03
-4.015999886419763243e-06	4.492613066651803444e-05	1.818066458457579101e-03
-4.013999886476327106e-06	4.161437457149332747e-05	1.817627404945701798e-03
-4.011999886532890969e-06	3.952628710886626389e-05	1.815019925120938803e-03
-4.009999886589454832e-06	3.677805310659538053e-05	1.813606261257622683e-03
-4.007999886646018695e-06	3.458087950416425128e-05	1.812803397733924122e-03
-4.005999886702582558e-06	3.340769729696092230e-05	1.812898102232187413e-03
-4.003999886759146420e-06	3.094479552666543737e-05	1.808879267063518651e-03
-4.001999886815710283e-06	2.822393429852029486e-05	1.807392931018578751e-03
